Abstract;Year;abs
COVID-19 has caused profound changes in various dimensions of people's lives. Education system is one of the areas affected most and there have been profound changes mainly with regard to teachers students and parents. The main purpose of this research is to analyse the effects of COVID-19 pandemic on ICT competences and experiences of classroom teachers and parents in various dimensions. Scales were developed to collect data for the research. The reliability of the scale was examined by calculating Cronbach Alpha coefficients which were .690 and .793 for the Distance Education and Pandemic Scale respectively. In the second study a total of 1345 people participated in the study including 841 classroom teachers and 504 parents whose children attending primary schools. The findings of the second study revealed significant differences between teachers and parents. Based on the findings of the current study following suggestions could be given both parents and teachers should be informed and educated about ICT usage. Teachers should use digital applications like Web 2.0 tools which will direct them through interactive way of teaching.;2021;covıd-19 has caused profound changes in various dimensions of people's lives. education system is one of the areas affected most and there have been profound changes mainly with regard to teachers students and parents. the main purpose of this research is to analyse the effects of covıd-19 pandemic on ıct competences and experiences of classroom teachers and parents in various dimensions. scales were developed to collect data for the research. the reliability of the scale was examined by calculating cronbach alpha coefficients which were .690 and .793 for the distance education and pandemic scale respectively. ın the second study a total of 1345 people participated in the study including 841 classroom teachers and 504 parents whose children attending primary schools. the findings of the second study revealed significant differences between teachers and parents. based on the findings of the current study following suggestions could be given both parents and teachers should be informed and educated about ıct usage. teachers should use digital applications like web 2.0 tools which will direct them through interactive way of teaching.
The aim of the study was to investigate secondary school students' and teachers' access to information technologies in Turkey by making interregional comparisons. Document analysis of the qualitative research methods was employed to analyze the reports issued by the Turkish Ministry of National Education the Turkish Statistical Institute (TUIK) and the Programme for International Student Assessment (PISA). The results of the research revealed the importance of access to information and communication technologies for both students and teachers: 67.9% of the participating students were found to have Internet connection and 69.1% a computer in their homes while 80.3% of the students were observed to use a computer outside the school but 19.7% were not. The results also showed that 64.6% of the students have Internet connection in their classrooms but 29.2% of these students do not use the Internet in the classroom whereas 8.9% use it in the classroom all the time. The rate of students using a digital device for reading is 38.1% while that of those not using one is 61.9%. Some 32.1% of secondary school students were revealed not to have Internet connection at home. Additionally 77% of teachers were not trained in online teaching prior to the COVID-19 pandemic. Based on the findings teachers can be suggested to develop projects - i.e. of TUBITAK E-twinning and Erasmus - which potentially encourage students to use information and communication technologies so that both teachers and students can benefit from them. It is also suggested that the Ministry of National Education should work on improving the information communication technology competencies of teachers and students. Besides policies should be developed to eliminate regional differences in terms of access to digital resources and technology in terms of equal opportunities and opportunities.;2021;the aim of the study was to investigate secondary school students' and teachers' access to information technologies in turkey by making interregional comparisons. document analysis of the qualitative research methods was employed to analyze the reports issued by the turkish ministry of national education the turkish statistical ınstitute (tuık) and the programme for ınternational student assessment (pısa). the results of the research revealed the importance of access to information and communication technologies for both students and teachers: 67.9% of the participating students were found to have ınternet connection and 69.1% a computer in their homes while 80.3% of the students were observed to use a computer outside the school but 19.7% were not. the results also showed that 64.6% of the students have ınternet connection in their classrooms but 29.2% of these students do not use the ınternet in the classroom whereas 8.9% use it in the classroom all the time. the rate of students using a digital device for reading is 38.1% while that of those not using one is 61.9%. some 32.1% of secondary school students were revealed not to have ınternet connection at home. additionally 77% of teachers were not trained in online teaching prior to the covıd-19 pandemic. based on the findings teachers can be suggested to develop projects - i.e. of tubıtak e-twinning and erasmus - which potentially encourage students to use information and communication technologies so that both teachers and students can benefit from them. ıt is also suggested that the ministry of national education should work on improving the information communication technology competencies of teachers and students. besides policies should be developed to eliminate regional differences in terms of access to digital resources and technology in terms of equal opportunities and opportunities.
While we have been looking for alternative educational materials for our undergraduate students we found ourself in Covid-19 pandemic and had to think postgraduate education. On the first day of restrictions our major problem was to learn and find the best communication tool. The first experiences for online meetings were boring we were not feeling our emotions but as days past we got used to it. We all understand the importance of having alternatives and have to be ready for second choices. During those challenging days all had more time to work on our completed data time to write complete the proofreading of written materials. Other vital scientific activities for career development and profile building such as reading (every meeting with new articles/reviews) publishing and preparing oral presentation were fully completed during the online meetings as a part of lab meeting activities. They learned to improve communication skills be active participants and fight.;2021;while we have been looking for alternative educational materials for our undergraduate students we found ourself in covid-19 pandemic and had to think postgraduate education. on the first day of restrictions our major problem was to learn and find the best communication tool. the first experiences for online meetings were boring we were not feeling our emotions but as days past we got used to it. we all understand the importance of having alternatives and have to be ready for second choices. during those challenging days all had more time to work on our completed data time to write complete the proofreading of written materials. other vital scientific activities for career development and profile building such as reading (every meeting with new articles/reviews) publishing and preparing oral presentation were fully completed during the online meetings as a part of lab meeting activities. they learned to improve communication skills be active participants and fight.
The Covid-19 pandemic has led to a rapid transition from face-to-face to distance learning. The problems caused by this rapid transition are combined with the negative psychological outcomes of the pandemic leading to numerous problems and difficulties in the teaching and learning processes. The recentness of these issues and developments requires detailed investigation as to how they affect distance learning. This study aims to investigate the role of psycho-demographic variables in the motivation and attendance of higher education students in distance education within the context of the Covid-19 pandemic. In this descriptive study we collected data from 1494 Turkish university students via an online survey. Quantitative data were analysed using correlation analysis t test one-way ANOVA multiple linear regression analysis and structural equation modelling. Stress anxiety depression and intolerance of uncertainty were correlated negatively with distance learning motivation and frequency of distance learning attendance. While students who attended distance learning only synchronously joined the courses more frequently the motivation of those who joined the courses sometimes synchronously and sometimes asynchronously was higher. The strength of the relationships between intolerance of uncertainty and distance learning motivation was significantly increased via anxiety and depression. Findings highlight the need for analysis of psycho-demographic variables while designing and implementing distance education programmes. Psychological variables including stress anxiety and depression are related to motivation and attendance during distance education. While using both synchronous and asynchronous distance learning enhances motivation synchronous learning increases attendance.;2021;the covid-19 pandemic has led to a rapid transition from face-to-face to distance learning. the problems caused by this rapid transition are combined with the negative psychological outcomes of the pandemic leading to numerous problems and difficulties in the teaching and learning processes. the recentness of these issues and developments requires detailed investigation as to how they affect distance learning. this study aims to investigate the role of psycho-demographic variables in the motivation and attendance of higher education students in distance education within the context of the covid-19 pandemic. ın this descriptive study we collected data from 1494 turkish university students via an online survey. quantitative data were analysed using correlation analysis t test one-way anova multiple linear regression analysis and structural equation modelling. stress anxiety depression and intolerance of uncertainty were correlated negatively with distance learning motivation and frequency of distance learning attendance. while students who attended distance learning only synchronously joined the courses more frequently the motivation of those who joined the courses sometimes synchronously and sometimes asynchronously was higher. the strength of the relationships between intolerance of uncertainty and distance learning motivation was significantly increased via anxiety and depression. findings highlight the need for analysis of psycho-demographic variables while designing and implementing distance education programmes. psychological variables including stress anxiety and depression are related to motivation and attendance during distance education. while using both synchronous and asynchronous distance learning enhances motivation synchronous learning increases attendance.
E-learning studies are becoming very important today as they provide alternatives and support to all types of teaching and learning programs. The effect of the COVID-19 pandemic on educational systems has further increased the significance of e-learning. Accordingly gaining a full understanding of the general topics and trends in e-learning studies is critical for a deeper comprehension of the field. There are many studies that provide such a picture of the e-learning field but the limitation is that they do not examine the field as a whole. This study aimed to investigate the emerging trends in the e-learning field by implementing a topic modeling analysis based on latent Dirichlet allocation (LDA) on 41925 peer-reviewed journal articles published between 2000 and 2019. The analysis revealed 16 topics reflecting emerging trends and developments in the e-learning field. Among these the topics MOOC learning assessment and elearning systems were found to be key topics in the field with a consistently high volume. In addition the topics of learning algorithms learning factors and adaptive learning were observed to have the highest overall acceleration with the first two identified as having a higher acceleration in recent years. Going by these results it is concluded that the next decade of e-learning studies will focus on learning factors and algorithms which will possibly create a baseline for more individualized and adaptive mobile platforms. In other words after a certain maturity level is reached by better understanding the learning process through these identified learning factors and algorithms the next generation of e-learning systems will be built on individualized and adaptive learning environments. These insights could be useful for e-learning communities to improve their research efforts and their applications in the field accordingly.;2021;e-learning studies are becoming very important today as they provide alternatives and support to all types of teaching and learning programs. the effect of the covıd-19 pandemic on educational systems has further increased the significance of e-learning. accordingly gaining a full understanding of the general topics and trends in e-learning studies is critical for a deeper comprehension of the field. there are many studies that provide such a picture of the e-learning field but the limitation is that they do not examine the field as a whole. this study aimed to investigate the emerging trends in the e-learning field by implementing a topic modeling analysis based on latent dirichlet allocation (lda) on 41925 peer-reviewed journal articles published between 2000 and 2019. the analysis revealed 16 topics reflecting emerging trends and developments in the e-learning field. among these the topics mooc learning assessment and elearning systems were found to be key topics in the field with a consistently high volume. ın addition the topics of learning algorithms learning factors and adaptive learning were observed to have the highest overall acceleration with the first two identified as having a higher acceleration in recent years. going by these results it is concluded that the next decade of e-learning studies will focus on learning factors and algorithms which will possibly create a baseline for more individualized and adaptive mobile platforms. ın other words after a certain maturity level is reached by better understanding the learning process through these identified learning factors and algorithms the next generation of e-learning systems will be built on individualized and adaptive learning environments. these insights could be useful for e-learning communities to improve their research efforts and their applications in the field accordingly.
The field of distance education (DE) is dynamic and constantly evolving it reflects and adapts according to changes in socio-cultural demographic political and technological domains. Thus there is a need to understand past and present activities in the field in order to better inform future research. The main purpose of this study was to examine DE research through data mining and analytics approaches using social network analysis (SNA) and text mining to conduct a bibliographic analysis. The findings highlighted three main strands of DE research: (a) issues related to open education (b) the design support and quality assurance of online DE and (c) the implementation and use of educational technology media and digital tools. SNA of the bibliometric data identified pivotal theoretical contributions including that the fields of distance education and educational technology converge. The article concludes with recommendations for future research directions.;2021;the field of distance education (de) is dynamic and constantly evolving it reflects and adapts according to changes in socio-cultural demographic political and technological domains. thus there is a need to understand past and present activities in the field in order to better inform future research. the main purpose of this study was to examine de research through data mining and analytics approaches using social network analysis (sna) and text mining to conduct a bibliographic analysis. the findings highlighted three main strands of de research: (a) issues related to open education (b) the design support and quality assurance of online de and (c) the implementation and use of educational technology media and digital tools. sna of the bibliometric data identified pivotal theoretical contributions including that the fields of distance education and educational technology converge. the article concludes with recommendations for future research directions.
Laboratories which are an integral part of education in disciplines that require hands-on training and application can now be presented using new technologies and application activities can be realized at a distance. In this study virtual laboratories (VLs) are discussed and factors affecting the students' intention to use VLs are investigated. The study was conducted within laboratory applications of circuit analysis within an associate degree program of a distance teaching university in Turkey. In this study which used exploratory sequential design approach the learners' intentions to use a VL were examined within the framework of the technology acceptance model (TAM). Content analysis was used for the analysis of qualitative data and the partial least squares structural equation model was used for the analysis of quantitative data. As a result of the study the developed TAM-based research model is a useful conceptual framework towards understanding and explaining the intentions of learners' virtual laboratory usage. The results of this study will guide institutions to integrate VLs effectively into the education process and to increase and disseminate the use of VLs by learners.;2021;laboratories which are an integral part of education in disciplines that require hands-on training and application can now be presented using new technologies and application activities can be realized at a distance. ın this study virtual laboratories (vls) are discussed and factors affecting the students' intention to use vls are investigated. the study was conducted within laboratory applications of circuit analysis within an associate degree program of a distance teaching university in turkey. ın this study which used exploratory sequential design approach the learners' intentions to use a vl were examined within the framework of the technology acceptance model (tam). content analysis was used for the analysis of qualitative data and the partial least squares structural equation model was used for the analysis of quantitative data. as a result of the study the developed tam-based research model is a useful conceptual framework towards understanding and explaining the intentions of learners' virtual laboratory usage. the results of this study will guide institutions to integrate vls effectively into the education process and to increase and disseminate the use of vls by learners.
This paper reports the impact of coronavirus disease 2019 on the practice and delivery of geotechnical and geoenvironmental engineering (GGE) education modules including lectures lab sessions student assessments and research activities based on the feedback from faculty members in 14 countries/regions around the world. Faculty members have since adopted a series of contingent measures to enhance teaching and learning experience during the pandemic which includes facilitating active learning exploring new teaching content related to public health expanding e-learning resources implementing more engaged and student-centred assessment and delivering high-impact integrated education and research. The key challenges that faculty members are facing appear to be how to maximise the flexibility of learning and meet physical distancing requirements without compromising learning outcomes education equity and interpersonal interactions in the traditional face-to-face teaching. Despite the challenges imposed by the pandemic this could also be a good opportunity for faculty members obliged to lecture to rethink and revise the existing contents and approaches of professing GGE education. Three future opportunities namely smart learning flipped learning and interdisciplinary education are identified. The changes could potentially provide students with a more resilient engaged interactive and technology-based learning environment.;2021;this paper reports the impact of coronavirus disease 2019 on the practice and delivery of geotechnical and geoenvironmental engineering (gge) education modules including lectures lab sessions student assessments and research activities based on the feedback from faculty members in 14 countries/regions around the world. faculty members have since adopted a series of contingent measures to enhance teaching and learning experience during the pandemic which includes facilitating active learning exploring new teaching content related to public health expanding e-learning resources implementing more engaged and student-centred assessment and delivering high-impact integrated education and research. the key challenges that faculty members are facing appear to be how to maximise the flexibility of learning and meet physical distancing requirements without compromising learning outcomes education equity and interpersonal interactions in the traditional face-to-face teaching. despite the challenges imposed by the pandemic this could also be a good opportunity for faculty members obliged to lecture to rethink and revise the existing contents and approaches of professing gge education. three future opportunities namely smart learning flipped learning and interdisciplinary education are identified. the changes could potentially provide students with a more resilient engaged interactive and technology-based learning environment.
Many governments decided to cancel face-to-face teaching and learning activities in schools and universities. They replaced them with online teaching and distance learning activities to prevent the spread of Coronavirus disease 2019 (COVID-19). Due to this sudden change students experienced some anthropometric environmental and psychosocial difficulties at home during the distance learning process. This study focuses on determining the importance of anthropometric environmental and psychosocial factors in the distance learning process during the COVID-19 pandemic. This study presents main factors and their subfactors affecting ergonomic conditions of university students during distance learning. A novel distance learning ergonomics checklist is proposed based on the Occupational Safety and Health Administration checklists. The data are collected via a questionnaire filled by 100 university students who attend the Ergonomics course online. Then the integrated methodology includes Voting Analytic Hierarchy Process integrated Pythagorean Fuzzy Technique for Order Preference by Similarity to An Ideal Solution method is adopted to prioritize the factors determined. Thirty-nine different subfactors are evaluated under five titles and the most important factors are determined using the proposed methodology. With the results achieved it is seen that the suggested checklist and proposed methodology can be used by public and private education organizations as a guide for improving their distance learning strategies.;2021;many governments decided to cancel face-to-face teaching and learning activities in schools and universities. they replaced them with online teaching and distance learning activities to prevent the spread of coronavirus disease 2019 (covıd-19). due to this sudden change students experienced some anthropometric environmental and psychosocial difficulties at home during the distance learning process. this study focuses on determining the importance of anthropometric environmental and psychosocial factors in the distance learning process during the covıd-19 pandemic. this study presents main factors and their subfactors affecting ergonomic conditions of university students during distance learning. a novel distance learning ergonomics checklist is proposed based on the occupational safety and health administration checklists. the data are collected via a questionnaire filled by 100 university students who attend the ergonomics course online. then the integrated methodology includes voting analytic hierarchy process integrated pythagorean fuzzy technique for order preference by similarity to an ıdeal solution method is adopted to prioritize the factors determined. thirty-nine different subfactors are evaluated under five titles and the most important factors are determined using the proposed methodology. with the results achieved it is seen that the suggested checklist and proposed methodology can be used by public and private education organizations as a guide for improving their distance learning strategies.
Purpose Traditional anatomy education (TAE) is based on teaching by seeing and touching cadavers/plastic materials that enable three-dimensional thinking but there was no opportunity like this in distance anatomy education (DAE). Due to the COVID-19 pandemic in 2020 many trainings planned face-to-face were carried out remotely. In this study our aim is to evaluate students' views on the efficiency of DAE and to increase the efficiency of DAE in the future. Methods The questionnaire used in the study was applied to the first grade students in the Faculty of Medicine at the Eskisehir Osmangazi University in 2019-2020. 239 students completed the survey. The questionnaire consisted of the demographic information that was obtained with voluntary consent and sections containing suggestions on DAE and its comparison with distance education of other basic medical science courses. The survey was prepared as a Likert scale (with 1 = totally disagree to 5 = totally agree) on Google forms and sent to the students online. Results 82.4% of the students marked totally disagree or disagree for the statement of DAE is more efficient than TAE. The total percentage of students who marked totally disagree or disagree for the statement of I was satisfied with the theoretical education in DAE was 58.6% but when it came to practical education the percentage raised to 79.9%. Conclusions According to the results the efficiency of DAE especially in terms of practice lessons was found to be lower than TAE. To make DAE a powerful alternative to TAE future studies should aim to develop a new syllabus for DAE.;;purpose traditional anatomy education (tae) is based on teaching by seeing and touching cadavers/plastic materials that enable three-dimensional thinking but there was no opportunity like this in distance anatomy education (dae). due to the covıd-19 pandemic in 2020 many trainings planned face-to-face were carried out remotely. ın this study our aim is to evaluate students' views on the efficiency of dae and to increase the efficiency of dae in the future. methods the questionnaire used in the study was applied to the first grade students in the faculty of medicine at the eskisehir osmangazi university in 2019-2020. 239 students completed the survey. the questionnaire consisted of the demographic information that was obtained with voluntary consent and sections containing suggestions on dae and its comparison with distance education of other basic medical science courses. the survey was prepared as a likert scale (with 1 = totally disagree to 5 = totally agree) on google forms and sent to the students online. results 82.4% of the students marked totally disagree or disagree for the statement of dae is more efficient than tae. the total percentage of students who marked totally disagree or disagree for the statement of ı was satisfied with the theoretical education in dae was 58.6% but when it came to practical education the percentage raised to 79.9%. conclusions according to the results the efficiency of dae especially in terms of practice lessons was found to be lower than tae. to make dae a powerful alternative to tae future studies should aim to develop a new syllabus for dae.
Background Clinical training during the COVID-19 pandemic is high risk for medical students. Medical schools in low- and middle-income countries (LMIC) have limited capacity to develop resources in the face of rapidly developing health emergencies. Here a free Massive Open Online Course (MOOC) was developed as a COVID-19 resource for medical students working in these settings and its effectiveness was evaluated. Methods The RE-AIM (reach effectiveness adoption implementation and maintenance) framework was utilized to evaluate the effectiveness of MOOC in teaching medical students about COVID-19. The data sources included the student registration forms metrics quantifying their interactions within the modules students' course feedback and free-text responses. The data were collected from the Moodle learning management system and Google analytics from May 9 to September 15 2020. The research team analyzed the quantitative data descriptively and the qualitative data thematically. Results Among the 16237 unique visitors who accessed the course only 6031 medical students from 71 medical schools registered and about 4993 (83% of registrants) completed the course indicating high levels of satisfaction (M = 8.17 SD = 1.49) on a 10-point scale. The mean scores of each assessment modules were > 90%. The free-text responses from 987 unique students revealed a total of 17 themes (e.g. knowing the general information on COVID-19 process management of the pandemic in public health online platform use and instructional design) across the elements of the RE-AIM framework. Mainly the students characterized the MOOC as well-organized and effective. Conclusions Medical students learned about COVID-19 using a self-paced and unmonitored MOOC. MOOCs could play a vital role in the dissemination of accurate information to medical students in LMIC in future public health emergencies. The students were interested in using similar MOOCs in the future.;2021;background clinical training during the covıd-19 pandemic is high risk for medical students. medical schools in low- and middle-income countries (lmıc) have limited capacity to develop resources in the face of rapidly developing health emergencies. here a free massive open online course (mooc) was developed as a covıd-19 resource for medical students working in these settings and its effectiveness was evaluated. methods the re-aım (reach effectiveness adoption implementation and maintenance) framework was utilized to evaluate the effectiveness of mooc in teaching medical students about covıd-19. the data sources included the student registration forms metrics quantifying their interactions within the modules students' course feedback and free-text responses. the data were collected from the moodle learning management system and google analytics from may 9 to september 15 2020. the research team analyzed the quantitative data descriptively and the qualitative data thematically. results among the 16237 unique visitors who accessed the course only 6031 medical students from 71 medical schools registered and about 4993 (83% of registrants) completed the course indicating high levels of satisfaction (m = 8.17 sd = 1.49) on a 10-point scale. the mean scores of each assessment modules were > 90%. the free-text responses from 987 unique students revealed a total of 17 themes (e.g. knowing the general information on covıd-19 process management of the pandemic in public health online platform use and instructional design) across the elements of the re-aım framework. mainly the students characterized the mooc as well-organized and effective. conclusions medical students learned about covıd-19 using a self-paced and unmonitored mooc. moocs could play a vital role in the dissemination of accurate information to medical students in lmıc in future public health emergencies. the students were interested in using similar moocs in the future.
This qualitative study aims to examine teachers' opinions concerning the middle school curricula that have been in use for years in order to determine its suitability for distance education during the COVID-19 pandemic. The participants consisted of eighteen middle school teachers from different subject areas in Turkey. A maximum variation sampling method was employed for participant selection. The data was collected through semi-structured interviews. Due to the pandemic the interviews were conducted using video conferencing applications. The data was analyzed through content analysis. According to the findings the teachers report that while they are effective in achieving cognitive objectives they have difficulties in achieving affective and psychomotor objectives. In addition the teachers do not prefer to design their own materials rather they mainly benefit from ready-to-use materials during emergency distance education. The teachers also reveal that direct instruction and questioning were the teaching methods and techniques they preferred in online courses and that they were unable to adapt other methods and techniques to distance education which resulted in students experiencing teacher-centered activities. Moreover the teachers complain about students not attending the online courses on time or even at all their disinterest a lack of instant feedback limited communication with students and insufficient course lengths. Another critical finding was that the teachers only use homework end-of-unit quizzes and participation to online courses as measurement and evaluation tools and agree that they are unable to administer reliable and valid evaluation tools. The limitations of the study and implications for future research are later discussed.;2021;this qualitative study aims to examine teachers' opinions concerning the middle school curricula that have been in use for years in order to determine its suitability for distance education during the covıd-19 pandemic. the participants consisted of eighteen middle school teachers from different subject areas in turkey. a maximum variation sampling method was employed for participant selection. the data was collected through semi-structured interviews. due to the pandemic the interviews were conducted using video conferencing applications. the data was analyzed through content analysis. according to the findings the teachers report that while they are effective in achieving cognitive objectives they have difficulties in achieving affective and psychomotor objectives. ın addition the teachers do not prefer to design their own materials rather they mainly benefit from ready-to-use materials during emergency distance education. the teachers also reveal that direct instruction and questioning were the teaching methods and techniques they preferred in online courses and that they were unable to adapt other methods and techniques to distance education which resulted in students experiencing teacher-centered activities. moreover the teachers complain about students not attending the online courses on time or even at all their disinterest a lack of instant feedback limited communication with students and insufficient course lengths. another critical finding was that the teachers only use homework end-of-unit quizzes and participation to online courses as measurement and evaluation tools and agree that they are unable to administer reliable and valid evaluation tools. the limitations of the study and implications for future research are later discussed.
Learning analytics is quickly evolving. Old fashioned dashboards with descriptive information and trends about what happened in the past are slightly substituted by new dashboards with forecasting information and predicting relevant outcomes about learning. Artificial intelligence is aiding this revolution. The accessibility to computational resources has increased and specific tools and packages for integrating artificial intelligence techniques leverage such new analytical tools. However it is crucial to develop trustworthy systems especially in education where skepticism about their application is due to the risk of teachers' replacement. However artificial intelligence systems should be seen as companions to empower teachers during the teaching and learning process. During the past years the Universitat Oberta de Catalunya has advanced developing a data mart where all data about learners and campus utilization are stored for research purposes. The extensive collection of these educational data has been used to build a trustworthy early warning system whose infrastructure is introduced in this paper. The infrastructure supports such a trustworthy system built with artificial intelligence procedures to detect at-risk learners early on in order to help them to pass the course. To assess the system's trustworthiness we carried out an evaluation on the basis of the seven requirements of the European Assessment List for trustworthy artificial intelligence (ALTAI) guidelines that recognize an artificial intelligence system as a trustworthy one. Results show that it is feasible to build a trustworthy system wherein all seven ALTAI requirements are considered at once from the very beginning during the design phase.;2021;learning analytics is quickly evolving. old fashioned dashboards with descriptive information and trends about what happened in the past are slightly substituted by new dashboards with forecasting information and predicting relevant outcomes about learning. artificial intelligence is aiding this revolution. the accessibility to computational resources has increased and specific tools and packages for integrating artificial intelligence techniques leverage such new analytical tools. however it is crucial to develop trustworthy systems especially in education where skepticism about their application is due to the risk of teachers' replacement. however artificial intelligence systems should be seen as companions to empower teachers during the teaching and learning process. during the past years the universitat oberta de catalunya has advanced developing a data mart where all data about learners and campus utilization are stored for research purposes. the extensive collection of these educational data has been used to build a trustworthy early warning system whose infrastructure is introduced in this paper. the infrastructure supports such a trustworthy system built with artificial intelligence procedures to detect at-risk learners early on in order to help them to pass the course. to assess the system's trustworthiness we carried out an evaluation on the basis of the seven requirements of the european assessment list for trustworthy artificial intelligence (altaı) guidelines that recognize an artificial intelligence system as a trustworthy one. results show that it is feasible to build a trustworthy system wherein all seven altaı requirements are considered at once from the very beginning during the design phase.
Background: Changes have occurred in children's sleep habits during the coronavirus disease 2019 (COVID-19) pandemic. The purpose of this study was to compare the sleep patterns during the COVID-19 pandemic of school age children of health worker parents (Group 1) and non-health worker parents (Group 2). Method: One hundred twenty-two participants were included in Group 1 and 250 in Group 2. The families' sociodemographic characteristics (education levels and occupations of mothers and fathers parental shift-working status monthly family income number of children in the family and place of residence) general information for the children taking part (diagnosis of COVID-19 or COVID-19 related isolation distance education participation in sporting activities time spent watching TV time devoted to reading time spent on telephones/tablets/computers and time spent on indoor activities) and the responses given to the Children's Sleep Habits Questionnaire (CSQH)-abbreviated form were all examined. Results: Group 1 consisted of 122 individuals 66 (54.1%) female and 56 (45.9%) male and Group 2 of 250 individuals 129 (51.6%) female and 121 (48.4%) male. Statistically significant differences were determined between the groups in terms of parental education levels and occupations family monthly income number of children in the family place of residence parental shift-working status and length of time spent on indoor activities. Total CSHQ scores were 41.57 +/- 7.57 (20-60) in Group 1 and 39.6 +/- 8.47 (17-68) in Group 2 (p:0.03). Conclusion: Greater impairment of sleep habits of school age children of health workers compared to those of non-health workers in the COVID-19 pandemic is proved for the first time in this study. Further assessment of the effects of the COVID-19 pandemic on children's sleep habits is now required and appropriate measures must be taken in the light of the results obtained. (C) 2021 Elsevier B.V. All rights reserved.;2021;background: changes have occurred in children's sleep habits during the coronavirus disease 2019 (covıd-19) pandemic. the purpose of this study was to compare the sleep patterns during the covıd-19 pandemic of school age children of health worker parents (group 1) and non-health worker parents (group 2). method: one hundred twenty-two participants were included in group 1 and 250 in group 2. the families' sociodemographic characteristics (education levels and occupations of mothers and fathers parental shift-working status monthly family income number of children in the family and place of residence) general information for the children taking part (diagnosis of covıd-19 or covıd-19 related isolation distance education participation in sporting activities time spent watching tv time devoted to reading time spent on telephones/tablets/computers and time spent on indoor activities) and the responses given to the children's sleep habits questionnaire (csqh)-abbreviated form were all examined. results: group 1 consisted of 122 individuals 66 (54.1%) female and 56 (45.9%) male and group 2 of 250 individuals 129 (51.6%) female and 121 (48.4%) male. statistically significant differences were determined between the groups in terms of parental education levels and occupations family monthly income number of children in the family place of residence parental shift-working status and length of time spent on indoor activities. total cshq scores were 41.57 +/- 7.57 (20-60) in group 1 and 39.6 +/- 8.47 (17-68) in group 2 (p:0.03). conclusion: greater impairment of sleep habits of school age children of health workers compared to those of non-health workers in the covıd-19 pandemic is proved for the first time in this study. further assessment of the effects of the covıd-19 pandemic on children's sleep habits is now required and appropriate measures must be taken in the light of the results obtained. (c) 2021 elsevier b.v. all rights reserved.
With the COVID-19 pandemic affecting the world the vast majority of students in various educational institutions around the world have changed their learning styles from the physical classroom to digital learning education. Especially the fact that university students take their lessons with e-learning in times of crisis (COVID-19 pandemic) has forced them to spend more time with the computer. This situation will also affect their academic motivation. This research aimed to test whether the fear of contracting COVID-19 (CoVFC) had a moderating effect on the prediction of preservice teachers' academic motivation (AMOTV) with their computer self-efficacy perceptions (CSE). With a combined approach a single model was employed to test the moderating role of CoVFC and the mediating role of Attitudes towards E-Learning (ATEL) in the prediction of preservice teachers' AMOTV with their CSE. 522 preservice teachers from 21 different branches participated in this research. As a result of the research the CSE of preservice teachers were determined to predict their AMOTV significantly and positively. The increase in CoVFC was found to have a negative moderating effect on the prediction of AMOTV with the CSE of preservice teachers. Also ATEL was found to have a partial mediating effect in the relationship between the CSE and AMOTV of preservice teachers.;;with the covıd-19 pandemic affecting the world the vast majority of students in various educational institutions around the world have changed their learning styles from the physical classroom to digital learning education. especially the fact that university students take their lessons with e-learning in times of crisis (covıd-19 pandemic) has forced them to spend more time with the computer. this situation will also affect their academic motivation. this research aimed to test whether the fear of contracting covıd-19 (covfc) had a moderating effect on the prediction of preservice teachers' academic motivation (amotv) with their computer self-efficacy perceptions (cse). with a combined approach a single model was employed to test the moderating role of covfc and the mediating role of attitudes towards e-learning (atel) in the prediction of preservice teachers' amotv with their cse. 522 preservice teachers from 21 different branches participated in this research. as a result of the research the cse of preservice teachers were determined to predict their amotv significantly and positively. the increase in covfc was found to have a negative moderating effect on the prediction of amotv with the cse of preservice teachers. also atel was found to have a partial mediating effect in the relationship between the cse and amotv of preservice teachers.
