Abstract;Year;Yil
Introduction: The increasing pandemic of heart failure is becoming a serious challenge for the health care system. The medical world is searching for solutions which could decrease its scale and improve patients' quality of life and prognosis. Telemanagement of heart failure patients is a new promising option. Technical and technological platforms to perform e-Health management in heart failure patients' homes have become available. This paper's aims are to present different forms of e-Health including telecare, home monitoring of cardiovascular implantable electronic devices, remote monitoring of hemodynamic implantable devices and telerehabilitation in providing optimal long term management for heart failure patients.Areas covered: E-education and self-monitoring, structured telephone support and telemonitoring, remote monitoring of cardiovascular implantable electronics devices and hemodynamic implantable electronic devices and telerehabilitation.Expert commentary: The data analyzed in the paper suggests that remote monitoring is capable of identifying life-threatening deterioration and helps heart failure patients avoid seeking medical assistance in hospitals and that home-based telerehabilitation is well accepted, safe, effective and has high adherence among HF patients.;2017;3
Introduction: This pilot study compared tele-intervention to conventional intervention for children with hearing loss in terms of communication performance, parental perceptions and clinician perceptions. Methods: A within-subject design was employed, including 10 children with hearing loss and their parents who each received a structurally similar tele-intervention and conventional intervention session in a counterbalanced manner. Quality of communication performance was analysed using a modified Tait video analysis method. Parent and clinician perceptions were collected through rating-scale surveys and thematic analysis of qualitative responses. Results: No significant difference (p> 0.05) was found between tele-intervention and conventional intervention in terms of communication performance of children. Parent perceptions were not significantly different (p> 0.05) between conventional and tele-intervention in terms of facilitating meaningful communication interaction. Significant differences were evident for parents' comfort level during the session, whether they found it to be a beneficial experience and whether they would like to continue receiving intervention through this method. Clinician perceptions of conventional and tele-intervention were not significantly different (p> 0.05) and tele-intervention was deemed a valuable method of service delivery for clients. Discussion: This study provides preliminary evidence that tele-intervention is effective for communication intervention and can be a valuable solution to typical barriers such as distance and the shortage of trained interventionists.;2017;3
"Introduction: This study aimed to determine the validity and reliability of video-based telerehabilitation assessments in patients with heart failure. Methods: Seventeen consecutive participants (mean age 69 years, SD 12 years and 88% males) undertook assessments of three functional tests via both telerehabilitation and face-to-face approaches, on the same day. The assessment order was randomised and conducted by independent assessors. Outcome measures included functional tests: timed up and go (time), six-minute walk (distance), grip strength (kilograms); system usability scale to rate participant experience with telerehabilitation assessment; and number of technical issues encountered. Validity and inter-and intra-rater reliability of telerehabilitation assessments were examined using limits of agreement, intra-class correlation coefficients (ICC), and paired t-tests. Results: The limits of agreement for telerehabilitation assessments were within the clinically acceptable limits for timed up and go and grip strength. Telerehabilitation assessments for all functional tests were strongly associated with face-to-face assessments, with ICCs of between 0.85 and 0.96. Inter-and intra-rater reliability of telerehabilitation assessments for all functional tests were excellent (all ICC > 0.95). The mean (SD) system usability scale score was 85 (15)/100. Some incidences of Internet drop-outs, video freezing and auditory fading occurred. Discussion: The use of telehealth for the assessment of functional exercise capacity appears to be valid and reliable in patients with heart failure.";2017;3
Introduction:Timely access to orthopedic rehabilitation is an important problem for the Ukrainian healthcare system. The international orthopedic community aims to achieve the best possible outcome for patient care by modifying rehabilitation methods and using telemedicine technology. The theme of this article is to discuss the integration of telemedicine technology in the rehabilitation of patients with injuries of the lower extremities.Materials and Methods:Consecutive patients were recruited over a 2-year period. A total of 74 subjects with lower extremity injuries were enrolled in the study and monitored during a 3-month period. Twenty-six patients from the control group underwent traditional rehabilitation procedures for a 3-month period after injury. A total of 48 subjects were enrolled in the telerehabilitation group for a 3-month study period and were trained with a set of exercises for home use. Home remote monitoring for the 48 test subjects included use of a smartphone with gyroscope, G-sensor, magnetometer, and barometer, which was fixed to the injured limb. Software for the smartphone was developed at the I. Horbachevsky Ternopil Medical University, Ukraine. Software permits the monitoring of exercise time, the frequency of active movements of the injured limb, the number of steps per hour, and the walking speed.Results:The 3-month rehabilitation period started with the power load of 10% of body weight, following 3-5 steps five times per day with a speed no >1km/h. The orthopedic surgeon, during telerehabilitation, took significantly less time to consult patients (2.3min0.4) than the traditional rehabilitation (12.6min +/- 2.9). Patient satisfaction was higher for the telerehabilitation (83.1%+/- 14.2) than for the orthopedic surgeon's traditional rehabilitation (33.1%+/- 8.9).Conclusions:Telerehabilitation is a good alternative for providing access to specialty care for the growing number of patients with traumatic injuries.;2017;3
Knee and hip joint arthrosis are among the ten most common diagnoses in orthopedic clinics. The effectiveness of inpatient rehabilitation after a total knee or hip replacement has been documented by numerous studies. However, the mid-term and long-term sustainability of a therapeutic success poses a big challenge. The aim of the project ReMove-is to provide a proof of concept for telemedical assisted intervention training for patients after an operation to their lower extremities. This article, based on testimonies, describes how the interactive exercise program for total knee and hip replacement patients was developed and how the telemedical assistance system MeineReha (R) is integrated into the day-to-day treatment of rehabilitation clinics. Similarly, the composition and execution of the clinical study is described and the system evaluated from the view of doctors and therapists.;2017;3
Knee and hip joint arthrosis are among the ten most common diagnoses in orthopedic clinics. The effectiveness of inpatient rehabilitation after a total knee or hip replacement has been documented by numerous studies. However, the mid-term and long-term sustainability of a therapeutic success poses a big challenge. The aim of the project ReMove-is to provide a proof of concept for telemedical assisted intervention training for patients after an operation to their lower extremities. This article, based on testimonies, describes how the interactive exercise program for total knee and hip replacement patients was developed and how the telemedical assistance system MeineReha (R) is integrated into the day-to-day treatment of rehabilitation clinics. Similarly, the composition and execution of the clinical study is described and the system evaluated from the view of doctors and therapists.;2017;3
Many functions previously conducted on desktop computers are now performed on smartphones. Smartphones provide convenience, portability, and connectivity. When smartphones are used in the conduct of telehealth, sensitive data is invariably accessed, rendering the devices in need of user authentication to ensure data protection. User authentication of smartphones can help mitigate potential Health Insurance Portability and Accountability Act (HIPAA) breaches and keep sensitive patient information protected, while also facilitating the convenience of smartphones within everyday life and healthcare. This paper presents and examines several types of authentication methods available to smartphone users to help ensure security of sensitive data from attackers. The applications of these authentication methods in telehealth are discussed.;2017;3
"Motor dexterity assessment is regularly performed in rehabilitation wards to establish patient status and automatization for such routinary task is sought. A system for automatizing the assessment of motor dexterity based on the Fugl-Meyer scale and with loose restrictions on sensing technologies is presented. The system consists of two main elements: 1) A data representation that abstracts the low level information obtained from a variety of sensors, into a highly separable low dimensionality encoding employing t-distributed Stochastic Neighbourhood Embedding, and, 2) central to this communication, a multi-label classifier that boosts classification rates by exploiting the fact that the classes corresponding to the individual exercises are naturally organized as a network. Depending on the targeted therapeutic movement class labels i.e. exercises scores, are highly correlated-patients who perform well in one, tends to perform well in related exercises-; and critically no node can be used as proxy of others-an exercise does not encode the information of other exercises. Over data from a cohort of 20 patients, the novel classifier outperforms classical Naive Bayes, random forest and variants of support vector machines (ANOVA: p < 0.001). The novel multi-label classification strategy fulfills an automatic system for motor dexterity assessment, with implications for lessening therapist's workloads, reducing healthcare costs and providing support for home-based virtual rehabilitation and telerehabilitation alternatives.";2017;3
Motor relearning after stroke is a lengthy process which should be continued after patients get discharged from the clinic. This project aims at developing a system for telerehabilitation which enables stroke patients to exercise at home autonomously or under supervision of a therapist. The system includes haptic therapy devices which are more promising and beneficial for stroke rehabilitation than non-haptic approaches. In this paper, we present the results of two initial studies investigating specific design solutions for the patient's user interface. In the first study, we developed four interactive prototypes illustrating different navigation concepts. A usability test was conducted to identify the best suitable concept. In the second study we followed a participatory design approach to create a set of design solutions for a motivating instant visual feedback for exercising with the haptic devices. The current project status and next steps are described.;2017;3
"Objective. To explore the experience of patients and physical therapists with Skype for exercise management of knee osteoarthritis (OA). Methods. This was a qualitative study. The Donabedian model for quality assessment in health care (structure, process, and outcomes) informed semistructured individual interview questions. The study involved 12 purposively sampled patients with knee OA who received physical therapist-prescribed exercise over Skype, and all therapists (n = 8) who delivered the intervention in a clinical trial were interviewed about their experiences. Interviews were audio recorded and transcribed. Two investigators undertook coding and analysis using a thematic approach. Results. Six themes arose from both patients and therapists. The themes were Structure: technology (easy to use, variable quality, set-up assistance helpful) and patient convenience (time efficient, flexible, increased access); Process: empowerment to self-manage (facilitated by home environment and therapists focusing on effective treatment) and positive therapeutic relationships (personal undivided attention from therapists, supportive friendly interactions); and Outcomes: satisfaction with care (satisfying, enjoyable, patients would recommend, therapists felt Skype more useful as adjunct to usual practice) and patient benefits (reduced pain, improved function, improved confidence and self-efficacy). A seventh theme arose from therapists regarding process: adjusting routine treatment (need to modify habits, discomfort without hands-on, supported by research environment). Conclusion. Patients and physical therapists described mostly positive experiences using Skype as a service delivery model for physical therapist-supervised exercise management of moderate knee OA. Such a model is feasible and acceptable and has the potential to increase access to supervised exercise management for people with knee OA, either individually or in combination with traditional in-clinic visits.";2017;3
Objective: Determine the feasibility of using a physical-activity behavior-change (PABC) intervention for increasing physical activity and reducing disability in Veterans 1-5 years following dysvascular lower-limb amputation (LLA). Design: Cross-over, feasibility trial Setting: VA Geriatric Research Education and Clinical Center and Veterans Homes Participants: 32 Veterans with dysvascular LLA (1-5 years after major LLA) Intervention: The home-based study, using telerehabilitation technology, is intended to reduce participant burden by removing transportation and time bafflers. Participants will be randomized into two participation periods of three months (Months 1-3 and 4-6). PABC intervention will occur Months 1-3 for GROUP1 and Months 4-6 for GROUP2. During PABC Intervention, participants engage in weekly video interaction with a physical therapist, who uses a collaborative approach to develop self-monitoring, barrier identification, problem solving and action planning skills to improve physical activity. GROUP2 will participate in a no physical activity intervention, attention control in Months 1-3. GROUP1 will have a no contact, intervention wash-out period in Months 4-6. Main outcome measures: Feasibility will be determined using measures of 1) participant retention, 2) dose goal attainment, 3) participant acceptability, 4) safety, and 5) initial effect size. Effect size will be based on accelerometer-based physical activity and self-report disability using the Late-Life Function and Disability Index. Conclusions: This study focuses on a prevalent and understudied population with low physical activity and high levels of disability due to dysvascular LLA. The results of this study will guide future development of targeted rehabilitation research to improve long term physical activity and disability outcomes. Published by Elsevier Inc.;2017;3
Objective: Preliminary evaluation of the efficacy of a Web-based group intervention (Online EmReg) to improve emotion regulation (ER) in individuals with traumatic brain injury (TBI). Design: Pre-/post-within-subject design with baseline, end-of-treatment, and 12-week follow-up assessments. Participants: Ninety-one individuals with TBI and deficits in ER. Intervention: Twenty-four sessions of training in ER skills delivered by group videoconference. Measures: Difficulties in Emotion Regulation Scale (DERS), Positive Affect Negative Affect Schedule (PANAS), Satisfaction With Life Scale (SWLS), Problem Solving Inventory (PSI), Social Problem Solving Inventory-Revised: Short Form (SPSI-R: S), and Dysexecutive Questionnaire (DEX). Results: Significant changes with large effect sizes were found for the DERS at the 12-week follow-up assessment. Significant and moderate changes were found on the SWLS, DEX, PSI, and subscales of the PANAS and SPSI-R:S. Conclusions: Online EmReg appears to be a promising method of delivering a group intervention to improve ER following TBI.;2017;3
Objective: Telerehabilitation (TR) is not used very widely in our country. Our study was planned to evaluate the usefulness and effect of TR in patients with hemiplegia. Materials and Methods: The study was performed at Mustafa Kemal University Health Practice and Research Hospital. After the demographic data were questioned, cognitive levels were assessed using the Mini Mental State Examination, balance using the Berg Balance Scale, and quality of life using the Short Form-36 (SF-36) Quality of Life Scale. A TR program was performed for 3 weeks with 3 sessions per week, a total of 9 sessions. After the therapy program was planned, TR was applied by contacting the patients via laptops with a camera and microphone and an internet connection. The first and last assessments were done at the clinic. Results: According to the results of the study, the balance levels of patients significantly improved after the TR program (p=0.026). There was no difference in terms of quality of life and mental status before and after TR (p>0.05). Conclusion: It was concluded that TR could improve the functionality of patients with stroke and routine use of TR would be beneficial. However, our country's technological equipment for TR application has been found not sufficient in the countryside.;2017;3
Objective: The aim of this study was to determine whether serious games especially customized for physical rehabilitation could be used in daily clinics with patients who are not familiar with informatics and/or new technologies and whether such a clinical approach would be culturally acceptable within a North African population to plan further clinical distribution if the hypothesis appears to be positive. Materials and Methods: Twenty-one patients participated in this study. Experiments were performed in the University Hospital Mohammed VI Oujda in Morocco. Patients were asked to perform physical rehabilitation exercises with dedicated serious games after their conventional therapy session. A questionnaire was used to evaluate patients' habits to rehabilitation exercises and satisfaction and expectation about the use of serious games for physical rehabilitation. Results: The same problem of low participation in at-home exercises was found in Morocco compared to Europe and the United States: 60 (30)% of the exercises was performed by the patients in Morocco and 48 (28)% in Europe and the United States. Results of this study show that serious games are well accepted by the patients (100%) and that it can help during rehabilitation (90%). Most of the patients prefer exercises with games than conventional rehabilitation exercises. Conclusion: Even in a context of low education (participants in this study attended school until the age of 10 years old), and low access and knowledge about new technology and informatics, rehabilitation exercises within serious games seem to be an interesting option to motivate patients during rehabilitation with a physiotherapist. Such a system could be installed also at home to increase patient's participation.;2017;3
Objective: The aims of this work were to evaluate the effects of home-based telesupervising rehabilitation on physical function for stroke survivors with hemiplegia and to determine if the rehabilitation therapy can relieve the burden on caregivers. Design: This study is a randomized, controlled, assessor-blinded trial. Stroke survivors were randomly assigned to either home-based telesupervising rehabilitation group or conventional rehabilitation group to receive physical exercise and electromyography-triggered neuromuscular stimulation. Modified Barthel Index, Berg Balance Scale, modified Rankin Scale, Caregiver Strain Index, root mean square of extensor carpi radialis longus and tibialis anterior muscle were measured at 3 time points: baseline, postintervention (12 weeks), and 12-week follow-up (24 weeks). Results: Both the home-based telerehabilitation and conventional rehabilitation groups demonstrated significant effects within groups over the 3 time points in increasing Modified Barthel Index, Berg Balance Scale, and root mean square value of extensor carpi radialis longus and tibialis anterior, as well as decreasing Caregiver Strain Index (P < 0.001), but none of the between-group differences was significant. For modified Rankin Scale, the percentage of participants of grades 0 and 1 in 2 groups increased over time without significant difference between the groups. Conclusions: Home-based telesupervising rehabilitation is most likely as effective as the conventional outpatient rehabilitation for improving functional recovery in stroke survivors and could ease the burden of caregivers as conventional rehabilitation.;2017;3
Objective: This study is designed to determine the feasibility of the provision of an evidenced-based aphasia therapy, constraint-induced language therapy, via telerehabilitation. It describes the computer software that was developed specifically for the delivery of constraint-induced language therapy in the online environment and presents two case studies. Methods: Two participants with chronic aphasia were assessed before and after a two-week intensive treatment block of constraint-induced language therapy delivered via Web-based videoconferencing. The group-based, dual card request game utilized in face-to-face constraint-induced language therapy was transformed into an innovative and user-friendly Web-based game - Internet constraint-induced language therapy (iCILT). Participants accessed iCILT via the Internet from their own home every weekday for two weeks. Language and quality of life measures were administered pre- and post-therapy in order to detect treatment effects. Participant satisfaction information was also recorded. Results: Online delivery of iCILT was technically feasible and participant satisfaction was high with a number of benefits associated with telerehabilitation identified by participants. Post-treatment performance for language functioning and communication-related quality of life was variable for each participant, however improvements in naming were noted. Conclusions: Constraint-induced language therapy delivered via telerehabilitation may be a feasible alternative to traditional face-to-face therapy for people with chronic aphasia.;2017;3
Objective: To compare Berg Balance Scale (BBS) rating using videos with differing transmission characteristics with direct in-person rating. Design: Repeated-measures study for the assessment of the BBS in 8 configurations: in person, high-definition video with slow motion review, standard-definition videos with varying bandwidths and frame rates (768 kilobytes per second [kbps] videos at 8, 15, and 30 frames per second [fps], 30 fps videos at 128, 384, and 768 kbps). Setting: Medical center. Participants: Patients with limitations (N=45) in >= 1 of 3 specific aspects of motor function: fine motor coordination, gross motor coordination, and gait and balance. Interventions: Not applicable. Main Outcomes Measures: Ability to rate the BBS in person and using videos with differing bandwidths and frame rates in frontal and lateral views. Results: Compared with in-person rating (7%), 18% (P =.29) of high-definition videos and 37% (P =.03) of standard-definition videos could not be rated. Interrater reliability for the high-definition videos was.96 (95% confidence interval,.94.97). Rating failure proportions increased from 20% in videos with the highest bandwidth to 60% (P<.001) in videos with the lowest bandwidth, with no significant differences in proportions across frame rate categories. Both frontal and lateral views were critical for successful rating using videos, with 60% to 70% (P<.001) of videos unable to be rated on a single view. Conclusions: Although there is some loss of information when using videos to rate the BBS compared to in-person ratings, it is feasible to reliably rate the BBS remotely in standard clinical spaces. However, optimal video rating requires frontal and lateral views for each assessment, high-definition video with high bandwidth, and the ability to carry out slow motion review. (C) 2016 by the American Congress of Rehabilitation Medicine;2017;3
Objective: To evaluate the effectiveness of treatment delivered via real-time telerehabilitation for the management of musculoskeletal conditions, and to determine if real-time telerehabilitation is comparable to conventional methods of delivery within this population. Data sources: Six databases (Medline, Embase, Cochrane CENTRAL, PEDro, psycINFO, CINAHL) were searched from inception to November 2015 for literature which reported on the outcomes of real-time telerehabilitation for musculoskeletal conditions. Review methods: Two reviewers screened 5913 abstracts where 13 studies (n = 1520) met the eligibility criteria. Methodological quality was assessed using the Downs & Black Checklist for Measuring Quality' tool. Results were pooled for meta-analysis based upon primary outcome measures and reported as standardised mean differences and 95% confidence intervals (CI). Results: Aggregate results suggest that telerehabilitation is effective in the improvement of physical function (SMD 1.63, 95%CI 0.92-2.33, I-2=93%), whilst being slightly more favourable (SMD 0.44, 95%CI 0.19-0.69, I-2=58%) than the control cohort following intervention. Sub-group analyses reveals that telerehabilitation in addition to usual care is more favourable (SMD 0.64, 95%CI 0.43-0.85, I-2=10%) than usual care alone, whilst treatment delivered solely via telerehabilitation is equivalent to face-to-face intervention (SMD MD 0.14, 95% CI -0.10-0.37, I-2 = 0%) for the improvement of physical function. The improvement of pain was also seen to be comparable between cohorts (SMD 0.66, 95%CI -0.27-1.60, I-2=96%) following intervention. Conclusions: Real-time telerehabilitation appears to be effective and comparable to conventional methods of healthcare delivery for the improvement of physical function and pain in a variety of musculoskeletal conditions.;2017;3
Objective: To identify literature which discusses the barriers and enablers of eHealth technology and which evaluates its role in facilitating interdisciplinary team work for the care of people with a traumatic brain injury (TBI). Design: Systematic review. Data sources: Studies were identified by searching CINAHL, Embase, Medline, PsycINFO, Scopus, and Web of Science. Study selection: Studies included in the review were required to feature an eHealth intervention which assisted interdisciplinary care for people with TBI. Data extraction: Descriptive data for each study described the eHealth intervention, interdisciplinary team, outcomes, and barriers and facilitators in implementing eHealth interventions. Results: The search resulted in 1389 publications, of which 35 were retrieved and scanned in full. Six studies met all the inclusion criteria for the review. Four different eHealth interventions were identified: (i) an electronic goals systems, (ii) telerehabilitation, (iii) videoconferencing, and (iv) a point-of-care team-based information system. Various barriers and facilitators were identified in the use of eHealth. Conclusion: eHealth interventions have been reported to support interdisciplinary teams for the care of TBI. However, there is a substantial gap in existing literature regarding the barriers and enablers which characterize a successful interdisciplinary eHealth model for people with TBI.;2017;3
Objectives: Cardiac telerehabilitation includes, in its most comprehensive format, telemonitoring, telecoaching, social interaction, and eLearning. The specific role of eLearning, however, was seldom assessed. The aim of eEduHeart I is to investigate the medium-term effectiveness of the addition of a cardiac web-based eLearing platform to conventional cardiac care. Methods: In this prospective, multicenter randomized, controlled trial, 1,000 patients with coronary artery disease will be randomized 1:1 to an intervention group (receiving 1-month unrestricted access to the cardiac eLearning platform in addition to conventional cardiac care) or to conventional cardiac care alone. The primary endpoint is health-related quality of life, assessed by the HeartQoL questionnaire at the 1- and 3-month follow-ups. Secondary endpoints include pathology-specific knowledge and self-reported eLearning platform user experience. Data on the eLearning platform usage will be gathered through web logging during the study period. Results: eEduHeart I will be one of the first studies to report on the added value of eLearning. Conclusions: If the intervention is proven effective, current cardiac telerehabilitation programs can be augmented by including eLearning, too. The platform can then be used as a model for other chronic diseases in which patient education plays a key role. (C) 2016 S. Karger AG, Basel;2017;3
Objectives: To compare in-person with videoconferencing administration of a communication questionnaire for people with traumatic brain injury (TBI) and their close others. Design: Repeated-measures design with randomized order of administration. Participants: Twenty adults with severe TBI and their close others. Methods: Both participants with TBI and their close others completed the La Trobe Communication Questionnaire (LCQ) via interview with a clinician, once via Skype and once during a home visit. Measures: Total LCQ score and time taken for completion. Results: There were no significant differences between videoconferencing and in-person conditions in the total scores or time taken to complete the questionnaire. Conclusions: Videoconferencing-based administration of the LCQ is as reliable and efficient as in-person administration.;2017;3
Objectives: To describe patient experiences and perspectives of a group-based heart failure (HF) telerehabilitation program delivered to the homes via online video-conferencing. Background: Limited information currently exists on patient experiences of telerehabilitation for HF. Patient feedback and end-user perspectives provide important information regarding the acceptability of this new delivery model which may have a substantial impact on future uptake. Methods: We used mixed-methods design with purposive sampling of patients with HR. We used self report surveys and semi-structured interviews to measure patient experiences and perspectives following a 12-week telerehabilitation program. The telerehabilitation program encompassed group based exercise and education, and were delivered in real-time via videoconferencing. Interviews were transcribed and coded, with thematic analysis undertaken. Results: Seventeen participants with HF (mean age [SD] of 69 [12] years and 88% males) were recruited. Participants reported high visual clarity and ease of use for the monitoring equipment. Major themes included motivating and inhibiting influences related to telerehabilitation and improvement suggestions. Participants liked the health benefits, access to care and social support. Participants highlighted a need for improved audio clarity and connectivity as well computer training for those with limited computer experience. The majority of participants preferred a combined face-to-face and online delivery model. Conclusion: Participants in this study reported high visual clarity and ease-of-use, but provided suggestions for further improvements in group-based video telerehabilitation for HF. Crown Copyright (C) 2017 Published by Elsevier Inc. All rights reserved.;2017;3
ObjectiveTo investigate the perceptions of people with hip and/or knee osteoarthritis (OA) about the remote delivery of exercise therapy by a physical therapist. MethodsA survey of people age 45 years with a clinical diagnosis of hip and/or knee OA was conducted. The survey comprised 3 sections, including 1) demographic information, 2) statements about receiving exercise via the telephone, and 3) statements about receiving exercise via video over the internet. Data were analyzed by calculating response proportions and evaluating levels of agreement with each statement. Exploratory binomial regression analyses were performed to determine whether participant characteristics influenced perceptions of tele-rehabilitation. ResultsA total of 330 people spanning metropolitan, regional, and rural Australia completed the survey. Respondents were in majority (50%) agreement with 13 of 17 statements, with most agreement about tele-rehabilitation saving time (telephone versus video: 78% versus 81%), being easy to use (79% versus 78%), and maintaining privacy (86% versus 82%). There was no consensus agreement with liking the lack of physical contact (telephone versus video: 20% agreement versus 22%), willingness to pay (32% versus 46%), belief that telephone-delivered exercise would be effective (45%), and belief that a physical therapist could adequately monitor OA over the telephone (42%). ConclusionPeople with knee and/or hip OA hold mostly positive perceptions about tele-rehabilitation, delivered via the telephone or by video over the internet, for provision of physical therapist-prescribed exercise services. There was concern about the lack of physical contact with the therapist when using tele-rehabilitation.;2017;3
Occupational audiologists have a crisis in their profession and need advocates. These audiologists are primarily responsible for industrial hearing conservation programs and their compliance with multiple regulations, such as Occupational Safety and Health Administration (OSHA), Mine Safety and Health Administration (MSHA) and the Federal Railroad Administration. Occupational hearing programs, for the most part, are multi-state programs as companies and corporations are national organizations. Also, companies may contract services across state lines as local services may not be desired or available. Individual state telepractice regulations require audiologists who are professionally supervising these programs via the internet and phone, to secure licensure in each state. For this licensure redundancy, the cost in time and tracking are enormous. It is imperative that the American Speech-Language-Hearing Association (ASHA), secure multistate licensure for speech-language pathologists and audiologists. For the profession of occupational audiology, it is essential.;2017;3
Optimal physical activity (PA) interventions are needed to increase PA in individuals with severe obesity, and optimize the results of bariatric surgery (BS). The aim of this study was to assess the feasibility and effect of Pre-Surgical Exercise Training (PreSET) delivered in-home via telehealth (TelePreSET) in subjects awaiting BS. Six women following the TelePreSET were compared to the women from a previous study (12 performing the PreSET in a gymnasium and 11 receiving usual care). In-home TelePreSET (12-weeks of endurance and strength training) was supervised twice weekly using videoconferencing. Physical fitness, quality of life, exercise beliefs, anthropometric measures and telehealth perception were assessed before and after 12-weeks. Satisfaction was evaluated with questionnaires at the end of the intervention. The TelePreSET participants attended 96% of the exercise sessions, and were very satisfied by the TelePreSET. The baseline telehealth perception score was high, and increased significantly after the intervention. The TelePreSET group significantly increased their physical fitness compared to the usual care group. No significant change was noted in other outcomes. The TelePreSET is feasible and seems effective to improve the physical fitness of women awaiting BS. Further studies are needed to confirm beneficial effects of this innovative mode of delivery.;2017;3
Our area of interest is robotic-based rehabilitation after stroke, and our goal is to help patients achieve optimal motor learning during high-intensity repetitive movement training through the assistance of robots. It is important, that the robotic assistance is adapted to the patients' abilities, thereby ensuring that the device is only supporting the patient as necessary (assist-as-needed). We hypothesize that natural and learning-effective human-machine interaction can be achieved by programming the robot's control, so that it emulates how a physiotherapist adaptively supports the patients' limb movement during stroke rehabilitation. This paper introduces the design of a novel interactive device Bi-Manu-Interact. This device is suited to be used as an experimental setup for the investigation of haptic humanhuman interaction and for collecting data to model therapists' haptic behavior. In this paper, we present mechanical and sensory specifications as well as tasks visualizations for future investigations. Results of a pilot clinical evaluation of the Bi-Manu-Interact with nine stroke patients are also presented in this work.;2017;3
Patients with undergone traditional physiotherapy have some problems, especially in terms of transportation and doing correct exercise. Nowadays telerehabilitation is becoming a popular method to reduce these problems and to help with treatment. MS Kinect is also one of the effective equipments in telerehabilitation. In this study, the problems of physically treated patients and studies using MS Kinect for this disease were examined. A physiotherapy application was developed with MS Kinect for shoulder joint, muscle and tendon damaged patients. In this application, six exercises have been selected for patients with shoulder joint, muscle and tendon damage. Thanks to the developed physiotherapy application with MS Kinect, the patients can do their exercises with highest accuracy.;2017;3
People with Parkinson disease (PD) demonstrate improvements in motor function following group tango classes, but report long commutes as a barrier to participation. To increase access, we investigated a telerehabilitation approach to group tango instruction. Twenty-six people with mild-to-moderate PD were assigned based on commute distance to either the telerehabilitation group (Telerehab) or an in-person instruction group (In-person). Both groups followed the same twice-weekly, 12-week curriculum with the same instructor. Feasibility metrics were participant retention, attendance and adverse events. Outcomes assessed were balance, PD motor sign severity and gait. Participant retention was 85% in both groups. Attendance was 87% in the Telerehab group and 84% in the In-person group. No adverse events occurred. Balance and motor sign severity improved significantly over time (p < 0.001) in both groups, with no significant groupxtime effects. Gait did not significantly change. Since a priori feasibility criteria were met or exceeded, and there were no notable outcome differences between the two instruction approaches, this pilot study suggests a telerehabilitation approach to group tango class for people with PD is feasible and may have similar outcomes to in-person instruction.;2017;3
Physical and cognitive rehabilitation is usually a challenging activity as people with any kind of deficit have to carry out tasks that are difficult due to their damaged abilities. Moreover, such difficulties become even harder while they have to work at home in an isolated manner. Therefore, the development of collaborative rehabilitation systems emerges as one of the best alternatives to mitigate such isolation and turn a difficult task into a challenging and stimulating one. As any other collaborative system, the need of being aware of other participants (their actions, locations, status, etc.) is paramount to achieve a proper collaborative experience. This awareness should be provided by using those feedback stimuli more appropriately according to the physical and cognitive abilities of the patients. This has led us to define an awareness interpretation for collaborative cognitive and physical systems. This has been defined by extending an existing proposal that has been already applied to the collaborative games field. Furthermore, in order to put this interpretation into practice, a case study based on an association image-writing rehabilitation pattern is presented illustrating how this cognitive rehabilitation task has been extended with collaborative features and enriched with awareness information.;2017;3
Physical telerehabilitation services over the Internet allow physiotherapists to engage in remote consultation with patients at their homes, improving the quality of care and reducing costs. Traditional visual approaches, such as webcams and videophones, are limited in terms of precision of assessment and support for assistance with exercises. In this paper, we present a Physical Telerehabilitation System (PTS) that enhances video interaction with IoT technology to monitor the position of the body of patients in space and provide smart data to physiotherapists and users. We give an overview of the architecture of the PTS and evaluate (i) its usability based on a number of interviews and focus groups with stakeholders, and (ii) its technical efficiency based on a series of measurements. From this evaluation, we derive a number of challenges for further improvement of the PTS and outline a possible solution based on a microservices architecture.;2017;3
"ProblemThe continuity of care for people with neurological conditions in a remote northwest Queensland town as services are currently only available intermittently. DesignMixed methods design using questionnaires and staff review of the program and processes. SettingIntermittent community rehabilitation service for clients with neurological conditions has been offered in Mount Isa and is supported by a similar fulltime service in Townsville. Both services use a unique client-centred, student-assisted, interprofessional model of care. Key measures for improvementUnderstanding participant experiences by obtaining feedback from clients, students and allied health professionals (AHPs) regarding their experiences of using telehealth in this setting. Strategy for changePrevious clients of the North West Community Rehabilitation service were offered a review assessment using telehealth by an interprofessional team. Effects of changeUsing telehealth enabled the client, remote AHP and students in Mount Isa to be connected to expert assistance in Townsville. Lessons learntThe findings suggest that telehealth was useful in a community rehabilitation setting to provide review services for clients. This improved continuity of care for these clients because without this telehealth assessment, the clients would have had to wait up to 12 months for the next service period in Mount Isa or travel to a major urban centre to access a similar service. Feedback from clients, students and AHPs was positive; however, some challenges were identified. Recommendations for future service delivery using telehealth are outlined in the paper.";2017;3
